catchment_id,month_01_Oct,month_02_Nov,month_03_Dec,month_04_Jan,month_05_Feb,month_06_Mar,month_07_Apr,month_08_May,month_09_Jun,month_10_Jul,month_11_Aug,month_12_Sep,min_1day,max_1day,min_3day,max_3day,min_7day,max_7day,min_30day,max_30day,min_90day,max_90day,base_flow_index,doy_min,doy_max,low_pulse_count,low_pulse_duration_mean,high_pulse_count,high_pulse_duration_mean,mean_rise_rate,mean_fall_rate,number_of_reversals
1001,1.7322,2.2284,2.2974,2.0749,1.91,1.4242,0.8267,0.4118,0.3401,0.2117,0.2477,0.9563,0.054,12.327,0.0555,9.993,0.0577,7.6363,0.0789,3.844,0.1919,2.5645,0.048,310.2333,109.1333,4.6,31.3758,14.5,5.1113,0.7276,0.2532,109.2667
2001,1.9812,2.7138,2.5248,2.6536,2.3752,2.0069,1.4249,0.984,0.7598,0.486,0.4935,0.9515,0.2286,14.1955,0.2338,11.3169,0.2427,8.1059,0.295,4.017,0.4654,2.9572,0.1525,302.6,106.3667,5.1667,29.0503,17.1333,3.9509,0.8911,0.3232,116.4333
2002,2.7098,3.3919,2.8755,3.0893,2.7623,2.2707,1.6098,0.8845,0.7349,0.4269,0.5637,1.2416,0.1083,16.9719,0.1107,13.9029,0.1165,9.6244,0.1743,4.9187,0.4084,3.5463,0.0633,294.3667,86.7,10.2333,11.6095,18.9333,3.9358,0.8858,0.5756,108.3333
3003,4.5991,6.0491,4.5038,5.0882,5.2061,4.5094,3.0312,1.4302,1.0798,0.8796,1.4121,2.9245,0.0394,29.4719,0.0458,21.4627,0.0629,15.3142,0.3086,8.3168,0.8573,6.1029,0.0188,277.8,119.3,12.5,8.4193,27.5333,2.8403,2.2947,1.4604,147.9333
4001,4.0562,5.5426,4.9801,5.3729,5.8194,4.8415,3.976,2.6645,1.9567,1.4866,1.5064,2.2489,0.9418,14.3258,0.9538,12.8908,0.984,10.7494,1.1857,7.4448,1.5131,6.0688,0.2735,308.6,106.7333,4.3,34.4316,10.7,6.4702,0.5142,0.2799,91.1667
4003,2.4759,3.4769,3.1683,3.5336,3.7524,2.8188,2.085,1.3972,1.2052,0.7995,0.6375,0.9639,0.3942,18.3276,0.4016,14.3885,0.4162,10.6483,0.4762,5.4479,0.6641,3.9786,0.1914,227.1,97.2333,7.0333,20.2813,15.4,4.8509,1.2798,0.3842,96.0333
4005,5.2961,7.1123,5.4473,6.5413,6.7775,4.9403,3.8063,1.7797,1.2738,1.1178,1.356,3.0225,0.8835,33.977,0.8849,24.7077,0.8924,17.4516,0.9422,10.0916,1.1311,7.5024,0.228,257.2,130.1333,11.8333,12.4402,20.7,4.0561,2.7933,1.1352,112.5667
4006,5.6785,7.6218,5.7181,6.843,7.0941,5.444,4.1382,1.9029,1.3749,1.2942,1.6972,3.6146,0.5874,30.3076,0.591,23.7568,0.6046,17.6011,0.7702,10.6103,1.229,7.9739,0.1431,274.4,121.9333,11.6,9.1299,18.6333,4.2975,2.2143,1.0994,125.0
5003,4.637,6.4768,6.1895,7.0147,7.9053,6.3769,5.8236,4.2339,3.3578,2.7101,2.4386,3.0704,1.9015,15.2736,1.93,14.2982,1.9755,12.7566,2.1947,9.6864,2.586,7.8813,0.4073,298.1333,117.6667,7.6,20.4828,9.7,7.7159,0.7997,0.3439,122.3667
6007,3.8305,5.1367,4.9387,5.6344,6.3172,4.8641,4.507,3.1821,2.4867,1.9947,1.8881,2.4565,1.0616,14.0307,1.0879,13.1384,1.1497,11.1391,1.4768,7.9501,1.9251,6.369,0.304,277.4,120.4667,7.3667,18.3402,10.9333,7.0708,0.5562,0.3213,84.8333
6008,3.0237,4.1869,3.4398,4.1644,4.3945,2.6504,1.9648,0.7804,0.4857,0.2418,0.2145,1.0478,0.0209,21.1633,0.0217,17.0311,0.0239,11.433,0.0488,6.4793,0.1937,4.6365,0.0117,300.2333,95.3,6.3667,25.395,14.3333,5.8217,1.0453,0.58,89.6333
7001,2.7649,3.3134,2.96,3.4318,4.1066,2.6765,2.0669,1.8258,1.7785,1.4033,1.3607,1.6735,0.567,21.2611,0.5836,16.3557,0.6136,11.022,0.8212,5.5488,1.2194,3.9628,0.2544,219.9667,136.2333,12.3667,6.3523,25.6,3.4637,1.6982,0.7556,137.9
7002,2.3089,2.6612,2.4108,2.821,3.1333,2.1058,1.5179,1.345,1.409,0.9853,1.0047,1.2063,0.2141,17.9488,0.2274,13.4706,0.2519,9.2392,0.4039,4.5398,0.8089,3.1954,0.1314,266.0,120.4,9.3667,10.5245,19.1333,4.3315,1.0306,0.459,133.0667
7003,0.6996,0.761,0.8964,1.0726,1.3314,1.2647,1.0443,0.875,0.8245,0.5357,0.4411,0.3837,0.0631,7.2067,0.069,5.9186,0.0803,3.9218,0.1445,2.1415,0.3087,1.4869,0.0925,200.2333,158.3,8.5333,17.7564,11.8333,5.5468,0.2687,0.1456,93.6667
7005,1.452,1.6039,1.5576,1.805,1.8627,1.3701,0.9238,0.8716,1.054,0.6292,0.67,0.7471,0.2192,15.8885,0.2255,11.9276,0.2298,7.7903,0.2818,3.3463,0.5055,2.1222,0.1917,228.8333,127.2333,7.6,16.7364,17.0333,4.8403,0.8672,0.2793,106.8333
7006,1.1325,1.1416,1.1474,1.3834,1.6636,1.5354,1.3038,1.3757,1.3863,1.0404,0.8847,0.8156,0.1377,11.0046,0.1492,8.9738,0.1758,5.8382,0.3285,2.7745,0.6797,1.9367,0.1439,191.3333,164.6,15.2333,6.8041,17.0333,4.2186,0.5314,0.3106,102.5333
8004,2.0408,2.3926,2.5124,2.6858,2.896,2.3028,1.9633,1.717,1.7456,1.4977,1.392,1.3369,0.3804,14.0295,0.4091,10.9055,0.4613,7.5633,0.7547,4.0692,1.1956,3.0728,0.2266,233.5667,112.6,10.6,9.3002,20.4667,3.9462,0.8,0.3513,133.7667
8005,1.7106,2.3279,2.7067,3.0978,3.6781,2.9771,2.756,2.2446,1.8618,1.515,1.2674,1.1903,0.7491,7.6064,0.7647,6.9827,0.8007,5.8098,0.9804,4.1018,1.2983,3.4725,0.3585,231.5,142.5667,6.9333,22.1209,10.6333,6.3698,0.3013,0.1564,96.5667
8006,1.4341,1.8046,1.9912,2.3296,2.6377,2.1211,1.9649,1.6619,1.5231,1.2317,1.0233,0.9417,0.3304,7.2232,0.3517,6.3376,0.3928,4.8484,0.6213,3.1723,1.0036,2.5245,0.23,243.4333,138.8,8.7333,13.7264,12.5667,4.9111,0.319,0.1819,101.8
8009,1.5042,2.0114,2.161,2.7173,3.0777,2.0923,1.5938,1.2896,1.1019,0.7983,0.7546,0.7538,0.167,14.0665,0.1821,10.8094,0.2122,7.3704,0.3942,3.9925,0.6781,2.9314,0.1295,253.4,116.0,9.5,11.6526,19.1333,4.1751,0.824,0.3647,134.9667
8011,1.404,1.6882,1.7918,1.9703,2.1111,1.8281,1.6221,1.4186,1.4266,1.2005,1.0659,0.9558,0.2986,10.453,0.319,7.9073,0.3474,5.3946,0.534,3.089,0.8887,2.3314,0.2277,226.5667,115.8333,11.3667,10.1212,16.3667,4.6563,0.5878,0.2399,129.6
8013,2.5126,3.2605,3.45,3.5423,4.2356,3.0835,2.85,2.1224,1.7921,1.5269,1.3804,1.4765,0.431,14.9366,0.4599,11.2666,0.521,7.7267,0.8975,5.0586,1.3571,4.1039,0.2015,254.6667,131.9,9.6667,10.8384,16.3,5.4802,0.9225,0.4113,131.0667
9002,1.2287,1.4958,1.7321,1.963,1.772,1.5942,1.3457,0.915,0.8851,0.6634,0.5762,0.6463,0.0986,8.8655,0.1064,7.2728,0.1247,5.1815,0.2432,2.9841,0.482,2.2092,0.1007,249.3333,114.5,8.7,13.8391,11.3667,6.9039,0.3376,0.1919,97.4
