catchment_id,month_01_Oct,month_02_Nov,month_03_Dec,month_04_Jan,month_05_Feb,month_06_Mar,month_07_Apr,month_08_May,month_09_Jun,month_10_Jul,month_11_Aug,month_12_Sep,min_1day,max_1day,min_3day,max_3day,min_7day,max_7day,min_30day,max_30day,min_90day,max_90day,base_flow_index,doy_min,doy_max,low_pulse_count,low_pulse_duration_mean,high_pulse_count,high_pulse_duration_mean,mean_rise_rate,mean_fall_rate,number_of_reversals
1001,1.8675,2.808,2.586,2.4469,2.2382,1.4531,0.8855,0.5221,0.3122,0.2847,0.3407,0.851,0.1088,6.0011,0.1107,5.3358,0.1171,4.4176,0.1644,3.3292,0.2656,2.7464,0.0835,299.6667,79.0667,7.2667,17.7185,15.0,5.7145,0.3475,0.2039,145.8
2001,2.2139,3.2895,3.0839,3.165,2.8725,2.09,1.5045,1.0413,0.73,0.5661,0.5731,1.0845,0.3738,7.3783,0.3775,6.3215,0.3864,5.164,0.4554,3.9195,0.5811,3.3218,0.2073,314.2333,73.6,8.4333,18.2235,19.3,4.1945,0.4922,0.289,152.9667
2002,2.9192,4.0341,3.6385,3.7213,3.2695,2.3428,1.5876,0.9619,0.6477,0.5611,0.6556,1.5099,0.1844,9.5669,0.1946,8.1893,0.2212,6.4927,0.3597,4.7597,0.5625,3.9797,0.1016,288.5667,73.1,9.8,12.5533,19.3333,4.3256,0.5342,0.4589,131.3333
3003,5.4063,6.4175,6.2306,6.5345,5.7873,4.3174,3.0164,1.9741,1.2329,1.5035,1.7047,3.9496,0.3108,16.414,0.3445,13.1116,0.4256,10.4621,0.892,7.7859,1.3455,6.7752,0.1053,270.0333,82.9333,18.0333,5.6566,29.3,3.0453,1.4059,1.2028,181.5
4001,4.5587,6.0506,6.5904,7.0874,6.484,4.9441,3.8582,2.8784,2.0242,1.7222,1.7147,2.907,1.3825,10.8717,1.3977,10.1902,1.4314,9.2044,1.5587,7.8179,1.7842,6.955,0.3386,302.3333,85.2333,3.0333,45.2931,8.2667,12.6458,0.316,0.222,110.7
4003,2.7356,4.047,4.2549,4.5061,4.0818,3.0227,2.1752,1.5532,1.0878,0.8211,0.7221,1.1295,0.5223,9.7371,0.5291,8.474,0.5475,7.0643,0.6322,5.285,0.8011,4.5157,0.2175,301.9,81.0,7.7,17.1331,15.8,5.5016,0.6258,0.3343,133.1667
4005,6.0499,7.6778,7.8301,8.3319,7.1405,4.8875,3.67,2.3255,1.4695,1.3782,1.5778,3.9819,0.958,18.8423,0.9641,15.7985,0.9893,12.8508,1.1523,9.7116,1.4328,8.362,0.2121,318.0667,85.6,9.9,11.0754,24.2,3.8261,1.3717,1.0345,165.3333
4006,6.5511,8.1152,8.1466,8.6924,7.5484,5.2093,3.9398,2.5407,1.6138,1.7306,1.9245,4.7757,0.741,17.9271,0.7716,15.4888,0.8561,13.0503,1.2486,10.1513,1.6824,8.7548,0.1698,287.6,101.0333,10.4,10.4881,21.6333,4.4677,1.1883,0.9314,165.3
5003,5.3989,7.2628,8.3394,9.1239,8.5601,6.6897,5.5441,4.4536,3.4455,2.9054,2.6422,3.7546,2.3634,13.6896,2.3883,12.7331,2.4304,11.8475,2.5828,10.2012,2.9047,8.9307,0.4303,321.9333,104.8,5.0667,25.018,8.3333,14.5858,0.43,0.2843,154.0
6007,4.2666,5.8047,6.658,7.2502,6.7224,5.0473,4.1768,3.2143,2.4174,2.13,2.0456,2.9571,1.6086,10.8982,1.6348,10.5071,1.6932,9.6592,1.9008,8.1609,2.1489,7.0857,0.3874,295.0667,96.2667,4.9667,25.869,9.0,12.0306,0.3185,0.2463,101.5333
6008,3.3477,4.8563,4.9457,5.1736,4.4725,2.7121,1.8077,0.8306,0.3698,0.2535,0.3478,1.3408,0.054,11.6863,0.0569,10.14,0.066,8.3302,0.1336,6.2035,0.2914,5.2584,0.0259,301.6333,88.1667,5.4667,28.8175,16.6333,5.6245,0.6171,0.4819,116.6667
7001,2.9712,3.8602,3.8541,3.9928,3.6355,2.9983,2.1515,1.5483,1.4609,1.5025,1.5634,1.8773,0.7631,10.9414,0.796,8.8968,0.863,7.241,1.134,4.9478,1.3827,4.1705,0.3299,278.8333,101.8333,22.3667,4.6387,27.4333,3.0874,0.8839,0.6706,175.0
7002,2.4214,3.1909,3.0411,3.1023,2.7928,2.3099,1.5869,1.0873,1.0498,1.1416,1.2558,1.4312,0.4224,8.3045,0.4417,6.9547,0.4944,5.6899,0.7273,3.8766,0.981,3.2862,0.2417,274.0,99.8,15.8667,7.1186,20.7333,4.2381,0.5363,0.3726,161.9333
7003,0.6939,1.023,1.103,1.2158,1.2839,1.324,1.0544,0.7866,0.683,0.5704,0.5425,0.4924,0.2083,3.5919,0.2213,3.0836,0.243,2.3933,0.3387,1.6931,0.4865,1.3877,0.2643,220.8,135.8333,12.5333,12.0693,14.7667,4.1981,0.1663,0.1174,119.1
7005,1.5052,2.0021,1.7834,1.8348,1.6706,1.4583,0.9841,0.746,0.7599,0.7721,0.8909,0.886,0.3133,6.5841,0.3208,5.3419,0.3344,4.0246,0.464,2.5451,0.6508,2.0133,0.2616,257.6333,96.8333,15.0667,7.6555,20.1667,4.0305,0.4057,0.2369,147.9333
7006,1.1907,1.4393,1.3637,1.4852,1.5182,1.6136,1.3633,1.2013,1.2062,1.1448,1.0527,0.9417,0.3564,4.6562,0.3856,3.9991,0.4481,3.1049,0.6995,2.1028,0.9533,1.6851,0.3443,217.4667,150.3333,23.6,5.3938,21.0333,3.0411,0.2974,0.2424,127.7667
8004,2.0328,2.8715,2.8017,2.8911,2.6584,2.4963,2.031,1.5162,1.5453,1.5543,1.4962,1.4311,0.7892,7.1322,0.8332,5.9822,0.9,4.8249,1.1276,3.4767,1.3874,3.0064,0.4245,256.6667,120.3667,17.4333,6.7784,20.6333,4.0098,0.4254,0.2804,168.0333
8005,1.7524,2.6488,3.3436,3.798,3.771,3.2264,2.7591,2.1548,1.7707,1.5126,1.2944,1.3075,1.0354,5.7183,1.0517,5.4572,1.08,4.9969,1.1992,4.2117,1.3679,3.7718,0.442,281.4667,113.6333,6.4,23.687,9.6,8.6999,0.1765,0.1252,120.1333
