catchment_id,month_01_Oct,month_02_Nov,month_03_Dec,month_04_Jan,month_05_Feb,month_06_Mar,month_07_Apr,month_08_May,month_09_Jun,month_10_Jul,month_11_Aug,month_12_Sep,min_1day,max_1day,min_3day,max_3day,min_7day,max_7day,min_30day,max_30day,min_90day,max_90day,base_flow_index,doy_min,doy_max,low_pulse_count,low_pulse_duration_mean,high_pulse_count,high_pulse_duration_mean,mean_rise_rate,mean_fall_rate,number_of_reversals
1001,2.0007,2.9546,2.6722,2.7066,2.2694,1.8945,0.7895,0.5089,0.328,0.4471,0.4368,0.8554,0.0709,13.8485,0.0723,11.3283,0.0752,8.859,0.108,4.5718,0.2612,3.1586,0.0501,276.4483,78.7931,3.6552,29.745,16.0,5.7912,0.8685,0.3248,112.931
2001,2.2501,3.4025,3.4245,3.4367,3.0628,2.8466,1.6681,1.0021,0.743,0.7976,0.7792,1.2616,0.3181,16.8902,0.3227,14.2741,0.3313,10.7666,0.4239,5.6274,0.6488,3.9493,0.1607,268.3793,97.0,4.6207,22.1917,18.5517,4.9916,1.1372,0.4544,116.6897
2002,2.7879,3.9254,3.8581,4.0706,3.6561,3.2169,1.8232,1.0142,0.719,0.9803,0.9071,1.7442,0.1153,22.0416,0.1185,18.579,0.1294,13.478,0.233,6.9542,0.6413,4.6946,0.0542,241.1034,103.7586,11.3448,8.4223,18.9655,4.7981,1.133,0.7443,104.5172
3003,4.9376,5.7869,6.4003,6.6917,6.5022,5.2929,2.6419,1.9001,1.1197,1.9123,2.0223,4.3267,0.0403,36.9455,0.0488,28.4698,0.0671,20.3542,0.3969,10.5907,1.2112,7.6049,0.0169,230.5172,102.7931,14.2759,6.4907,28.2414,3.2041,2.9037,1.8201,143.8276
4001,4.4087,5.6701,6.5019,7.1401,7.1555,6.0041,3.7206,2.8164,2.0439,1.9368,2.0066,3.3697,1.0976,24.0132,1.1187,21.0967,1.1564,16.6551,1.4116,9.8536,1.8413,7.6692,0.2675,270.6207,109.069,4.8621,22.1791,11.7586,8.1029,0.8037,0.4184,88.931
4003,2.8512,3.8745,4.3042,4.5976,4.5663,3.8624,2.1634,1.6783,1.097,1.1123,0.847,1.6108,0.5411,25.0905,0.5524,20.2181,0.5606,14.7565,0.6329,7.4875,0.8611,5.2519,0.207,247.1379,105.3793,6.6552,15.8684,16.069,5.7071,1.7156,0.5342,97.2759
4005,5.3681,6.5387,7.8597,8.0334,8.1017,6.0886,3.2615,2.3616,1.4265,1.7841,1.8345,4.5419,0.9192,45.2714,0.922,34.1944,0.9337,24.0544,0.9964,12.6589,1.4275,9.1461,0.1995,180.7586,129.6207,12.6552,7.2859,21.7241,4.2317,3.5819,1.4951,116.2759
4006,5.7546,7.0771,8.2436,8.344,8.504,6.4078,3.44,2.4228,1.5694,2.1408,2.3218,5.1196,0.6348,41.7494,0.6415,32.3338,0.6556,23.968,0.8481,13.008,1.5891,9.582,0.131,250.9655,137.2414,12.6207,7.4633,19.931,4.6295,2.8992,1.4307,125.3103
5003,5.1593,6.3942,7.6371,8.7013,9.2222,7.6597,5.2933,4.3414,3.3913,3.0637,2.938,4.2879,2.1263,25.0492,2.164,22.1023,2.2235,18.3241,2.5244,12.2012,2.9781,9.4357,0.3964,261.9655,122.8276,7.6897,12.9784,10.7931,8.8075,1.0992,0.4643,118.3448
6007,4.02,5.1407,5.9574,6.8004,7.2022,5.8866,3.8897,3.1663,2.4105,2.4012,2.3445,3.4967,1.1281,19.9944,1.1628,18.8651,1.2358,15.9451,1.648,9.9882,2.2008,7.501,0.2836,217.5862,128.4138,6.8621,14.6733,10.931,9.114,0.7286,0.4116,81.2759
