catchment_id,month_01_Oct,month_02_Nov,month_03_Dec,month_04_Jan,month_05_Feb,month_06_Mar,month_07_Apr,month_08_May,month_09_Jun,month_10_Jul,month_11_Aug,month_12_Sep,min_1day,max_1day,min_3day,max_3day,min_7day,max_7day,min_30day,max_30day,min_90day,max_90day,base_flow_index,doy_min,doy_max,low_pulse_count,low_pulse_duration_mean,high_pulse_count,high_pulse_duration_mean,mean_rise_rate,mean_fall_rate,number_of_reversals
1001,2.0743,2.9126,2.615,2.5585,2.268,1.6905,0.9426,0.5496,0.3569,0.3797,0.4332,1.0413,0.1414,6.6893,0.1446,5.8039,0.1515,4.9004,0.2097,3.4148,0.3425,2.8331,0.1018,288.9655,88.4828,7.7586,13.1367,15.1724,6.0871,0.3768,0.229,148.2759
2001,2.4408,3.376,3.2263,3.1826,3.0776,2.5255,1.7257,1.1176,0.8173,0.7442,0.7676,1.4721,0.4922,8.2087,0.5009,7.1409,0.5148,5.7863,0.6043,4.0186,0.7451,3.4462,0.2522,300.8621,93.6207,9.4138,10.2336,20.7586,4.4179,0.5197,0.335,154.3103
2002,2.9967,3.953,3.7203,3.6145,3.5508,2.9342,1.9622,1.0858,0.8204,0.8544,0.8966,2.0102,0.251,10.0525,0.2705,8.8609,0.3178,7.043,0.5231,4.7705,0.7875,4.0118,0.1344,266.5862,89.6897,12.1724,7.9666,19.6897,4.5982,0.58,0.5136,131.1379
3003,5.188,5.9532,6.3053,6.5526,6.1061,4.7533,3.2132,1.9254,1.2926,1.7043,2.1079,4.5017,0.3669,17.2373,0.4126,14.4986,0.5146,11.4515,0.9728,8.1351,1.5046,6.8028,0.1253,259.3793,117.4138,20.931,4.463,28.2414,3.2601,1.4557,1.2528,182.4138
4001,4.6255,5.7144,6.5971,6.999,6.7374,5.5512,4.0259,2.9317,2.109,1.8744,1.9934,3.4557,1.5516,12.2445,1.5673,11.4255,1.602,10.0712,1.7316,8.0053,1.9674,7.0196,0.3665,292.8966,116.4138,3.4828,34.2576,9.8966,9.893,0.3532,0.2613,112.7931
4003,3.0039,3.9293,4.3645,4.3211,4.356,3.68,2.4435,1.6179,1.2172,1.0199,0.9151,1.7953,0.647,10.7973,0.6631,9.3567,0.6785,7.8124,0.7891,5.3683,1.0062,4.5967,0.2496,319.1379,102.7241,8.5862,12.0491,17.2414,5.397,0.6536,0.3907,141.4828
4005,5.5879,6.6529,7.8924,8.1365,7.4667,5.6191,3.8438,2.3731,1.5383,1.625,1.9192,4.7447,0.9789,20.1103,0.9922,16.5976,1.0342,13.4808,1.2748,9.8559,1.6205,8.286,0.2169,282.7931,111.2414,12.2069,7.8514,23.8276,3.8507,1.4638,1.1296,165.9655
4006,6.0209,7.1399,8.2475,8.5123,7.8015,5.8063,4.0449,2.4992,1.6554,1.9237,2.3846,5.3616,0.782,19.1569,0.8227,16.5847,0.9277,13.7554,1.3339,10.2765,1.8469,8.6845,0.182,263.2759,112.9655,12.1034,7.9186,21.3793,4.3655,1.2518,0.9969,166.5172
5003,5.2325,6.459,7.9546,8.7348,8.752,7.2652,5.6318,4.4148,3.4511,3.0148,2.9111,4.2595,2.6017,14.3771,2.6248,13.5135,2.6755,12.2823,2.8272,10.0302,3.0726,8.7895,0.4733,313.1724,127.069,5.1724,20.7812,9.4828,11.5731,0.4454,0.3059,154.0
6007,4.1299,5.2282,6.2912,6.8685,6.768,5.6047,4.2595,3.2246,2.4631,2.3111,2.3101,3.3882,1.8,11.0994,1.8247,10.7353,1.8805,9.8446,2.0608,7.9622,2.3251,6.9436,0.4285,288.0345,107.0345,5.6552,19.0803,8.8276,11.4944,0.3209,0.2603,103.0345
