parameter,mean_HA,frac_departure,frac_high_departure,frac_concentration,frac_high_concentration
month_12_Sep,-0.505,0.813,0.214,0.002,0.0
min_3day,-0.463,0.675,0.309,0.019,0.006
min_90day,-0.397,0.67,0.1,0.005,0.0
min_7day,-0.453,0.668,0.279,0.011,0.005
min_1day,-0.458,0.662,0.327,0.023,0.011
min_30day,-0.4,0.625,0.213,0.016,0.0
month_11_Aug,-0.351,0.623,0.098,0.039,0.0
base_flow_index,-0.418,0.615,0.298,0.014,0.005
month_05_Feb,-0.322,0.589,0.027,0.016,0.0
month_01_Oct,-0.317,0.533,0.071,0.008,0.0
low_pulse_duration_mean,-0.29,0.504,0.055,0.019,0.0
month_10_Jul,-0.24,0.441,0.031,0.027,0.0
month_09_Jun,-0.257,0.44,0.021,0.008,0.0
mean_fall_rate,-0.186,0.343,0.011,0.014,0.0
mean_rise_rate,-0.169,0.322,0.013,0.037,0.0
month_08_May,-0.169,0.301,0.014,0.029,0.0
month_02_Nov,-0.143,0.28,0.018,0.027,0.0
month_03_Dec,-0.128,0.277,0.013,0.053,0.0
max_3day,-0.13,0.275,0.018,0.072,0.0
max_1day,-0.129,0.264,0.013,0.072,0.0
max_7day,-0.114,0.259,0.014,0.066,0.002
high_pulse_duration_mean,-0.134,0.232,0.008,0.029,0.006
number_of_reversals,-0.097,0.219,0.003,0.072,0.0
max_90day,-0.125,0.208,0.013,0.034,0.0
doy_min,0.02,0.185,0.003,0.206,0.037
doy_max,-0.03,0.18,0.013,0.134,0.006
max_30day,-0.066,0.172,0.008,0.092,0.0
month_07_Apr,-0.083,0.167,0.011,0.048,0.0
month_04_Jan,-0.074,0.164,0.013,0.055,0.0
month_06_Mar,0.021,0.122,0.008,0.174,0.002
high_pulse_count,0.097,0.081,0.0,0.23,0.011
low_pulse_count,0.202,0.063,0.0,0.351,0.1
