parameter,mean_HA,frac_departure,frac_high_departure,frac_concentration,frac_high_concentration
min_30day,-0.353,0.626,0.19,0.066,0.029
month_11_Aug,-0.325,0.57,0.079,0.026,0.008
base_flow_index,-0.3,0.552,0.176,0.061,0.043
month_12_Sep,-0.298,0.548,0.158,0.074,0.006
min_7day,-0.252,0.523,0.164,0.111,0.052
min_3day,-0.215,0.501,0.164,0.14,0.068
month_01_Oct,-0.267,0.488,0.04,0.014,0.003
min_1day,-0.196,0.478,0.147,0.156,0.076
min_90day,-0.261,0.473,0.058,0.027,0.005
low_pulse_duration_mean,-0.236,0.435,0.064,0.043,0.005
month_10_Jul,-0.198,0.367,0.011,0.031,0.01
month_02_Nov,-0.201,0.343,0.013,0.035,0.0
doy_min,-0.081,0.277,0.055,0.142,0.053
month_05_Feb,-0.069,0.238,0.014,0.097,0.0
doy_max,0.004,0.161,0.016,0.176,0.013
month_08_May,0.047,0.159,0.005,0.211,0.019
month_03_Dec,0.036,0.14,0.005,0.205,0.018
max_3day,0.011,0.121,0.005,0.127,0.002
month_09_Jun,0.05,0.119,0.005,0.167,0.008
max_1day,0.021,0.118,0.003,0.163,0.002
max_7day,0.024,0.114,0.006,0.143,0.005
month_07_Apr,0.005,0.108,0.008,0.114,0.005
number_of_reversals,0.07,0.106,0.006,0.235,0.011
month_06_Mar,-0.029,0.106,0.006,0.089,0.0
max_30day,0.043,0.1,0.003,0.172,0.01
month_04_Jan,-0.008,0.087,0.003,0.084,0.0
high_pulse_duration_mean,0.053,0.087,0.002,0.163,0.027
max_90day,0.071,0.079,0.005,0.209,0.002
mean_rise_rate,0.12,0.058,0.003,0.259,0.008
low_pulse_count,0.238,0.058,0.0,0.407,0.126
high_pulse_count,0.212,0.042,0.0,0.362,0.056
mean_fall_rate,0.185,0.04,0.0,0.322,0.024
